1	what are bigos?	0	bigos --> dish type of dish --> [u'Stew']	0	bigos --> dish cuisine --> [u'Polish food']	0
773	what party was abe lincoln part of?	2510	abraham lincoln --> political party tenure party --> [u'Illinois Republican Party', u'Whig Party', u'Republican Party', u'National Union Party']	137	abraham lincoln --> political party tenure party --> [u'Illinois Republican Party', u'Whig Party', u'Republican Party', u'National Union Party']	137
774	where did the anasazi indians live?	21327	ancient pueblo peoples --> ethnicity geographic distribution --> [u'Four Corners']	0	native americans in the united states --> ethnicity geographic distribution --> [u'United States of America']	171
775	where is the sony ericsson company?	2	EMPTY	0	sony mobile communications --> mailing address citytown --> [u'Minato, Tokyo']	0
776	what genre of art is the mona lisa?	295	mona lisa --> artwork art genre --> [u'Portrait']	0	art --> book subject works --> [u'The Young Poet and the Painter', u'The Brown Decades', u'On the strange place of religion in contemporary art', u'Ink, paper, metal, wood', u'The Art of War']	0
777	what team does messi play for 2011?	770	lionel messi --> football roster position team --> [u'FC Barcelona', u'Argentina national football team', u'FC Barcelona B', u'FC Barcelona C']	102	lionel messi --> football roster position team --> [u'FC Barcelona', u'Argentina national football team', u'FC Barcelona B', u'FC Barcelona C']	102
778	what guitar does corey taylor play?	1024	corey taylor --> group member instruments played --> [u'Bass guitar', u'Drum', u'Guitar']	1	guitar --> instrument variation --> [u'Bass guitar', u'classical guitar', u'Electric guitar', u'Acoustic guitar', u'resonator guitar']	161
779	what states make up the midwest us?	874	midwestern united states --> location contains --> [u'North Dakota', u'Wisconsin', u'Nebraska', u'Indiana', u'Kansas']	177	midwestern united states --> adjoining relationship adjoins --> [u'Southern United States', u'Western United States', u'Northeast United States']	185
780	where is victoria british columbia?	22155	victoria --> location containedby --> [u'Canada', u'British Columbia']	433	victoria --> location containedby --> [u'Canada', u'British Columbia']	433
781	where does fabio capello come from?	171	fabio capello --> person nationality --> [u'Italy']	2	fabio capello --> football roster position team --> [u'Italy national football team', u'A.C. Milan', u'Real SPAL', u'A.S. Roma', u'Juventus F.C.']	24
782	when did the libyan conflict start?	0	EMPTY	0	conflict --> meeting focus focus of --> [u'AG Zionismusforschung Workshop /5']	0
783	what channel is the usa pageant on?	186360	united states of america --> administrative area short name --> [u'us']	0	united states of america --> imports and exports exported to --> [u'Belgium', u'Brazil', u'Germany', u'Japan', u'Netherlands']	3859
784	when did the battle of alamo start?	5605	EMPTY	0	battle of the alamo --> event locations --> [u'San Antonio']	4
785	who has stephen ireland played for?	27	stephen ireland --> football roster position team --> [u'Manchester City F.C.', u'Newcastle United F.C.', u'Aston Villa F.C.']	5	stephen ireland --> football roster position team --> [u'Manchester City F.C.', u'Newcastle United F.C.', u'Aston Villa F.C.']	5
786	what sports are popular in germany?	77571	germany --> sports team location teams --> [u'Germany national water polo team', u'Germany national basketball team', u'Germany national football team', u'Germany national handball team', u'Alba Berlin']	12	germany --> sports team location teams --> [u'Germany national water polo team', u'Germany national basketball team', u'Germany national football team', u'Germany national handball team', u'Alba Berlin']	12
787	what school did wilfred owen go to?	61	wilfred owen --> education institution --> [u'University of London', u'University of Reading']	0	wilfred owen --> education institution --> [u'University of London', u'University of Reading']	0
788	who has pudge rodriguez played for?	0	iván rodríguez --> batting statistics team --> [u'Miami Marlins', u'New York Yankees', u'Detroit Tigers', u'Texas Rangers']	0	iván rodríguez --> batting statistics team --> [u'Miami Marlins', u'New York Yankees', u'Detroit Tigers', u'Texas Rangers']	0
789	where did venus williams come from?	2831	venus williams --> person place of birth --> [u'Lynwood']	0	venus williams --> place lived location --> [u'Compton', u'Palm Beach Gardens']	1
790	what disease did bernie mac die of?	100	bernie mac --> deceased person cause of death --> [u'Pneumonia']	0	bernie mac --> deceased person cause of death --> [u'Pneumonia']	0
791	what language do the russian speak?	0	EMPTY	0	language --> book subject works --> [u'Language and the Internet', u'The Nature of This Paradigm Dancing', u'Language in Danger', u'Egyptian Grammar: Being an Introduction to the Study of Hieroglyphs', u'The British Edda']	0
792	where was david berkowitz arrested?	8	david berkowitz --> place lived location --> [u'New York City', u'Brooklyn', u'Yonkers']	6	david berkowitz --> place lived location --> [u'New York City', u'Brooklyn', u'Yonkers']	6
793	where is holy roman empire located?	1228	roman empire --> location containedby --> [u'Europe', u'North Africa', u'Middle East']	36	holy roman empire --> location containedby --> [u'Europe']	6
794	what type of government japan have?	16408	japan --> country form of government --> [u'Constitutional monarchy', u'Parliamentary system', u'Unitary state']	2	japan --> country form of government --> [u'Constitutional monarchy', u'Parliamentary system', u'Unitary state']	2
795	who did queen elizabeth 1 executed?	2275	elizabeth i of england --> kwtopic connections from --> [u'queen elizabeth i of england her spymaster was francis walsingham', u'queen elizabeth i of england sent expedition by francis drake', u'queen elizabeth i of england banned john knox', u'queen elizabeth i of england she executed mary queen of scots', u'queen elizabeth i of england her sec. state was william cecil, 1st baron burghley']	0	elizabeth i of england --> person parents --> [u'Henry VIII of England', u'Anne Boleyn']	106
796	where does the zambezi river start?	81	zambezi --> river origin --> [u'Mwinilunga']	0	zambezi --> river basin countries --> [u'Zimbabwe', u'Angola', u'Tanzania', u'Democratic Republic of the Congo', u'Botswana']	28
797	what happened to pope john paul ii?	388	pope john paul ii --> deceased person cause of death --> [u"Parkinson's disease", u'Myocardial infarction']	0	pope john paul ii --> religious organization leadership organization --> [u'Roman Catholic Church']	16
798	who did granville t. woods married?	0	granville woods --> marriage spouse --> [u'Loretta Woods']	0	granville woods --> marriage spouse --> [u'Loretta Woods']	0
799	what has shannen doherty played in?	120	shannen doherty --> performance film --> [u'The Secret of NIMH', u'Gone in the Night', u'Another Day', u'Gretl', u'Growing the Big One']	2	shannen doherty --> regular tv appearance character --> [u'Alexandra Hudson', u'Prue Halliwell', u'Kathleen Kennedy', u'Brenda Walsh', u'Jennie Fogel']	18
800	what rihanna new album called 2012?	1060	rihanna --> artist album --> [u'We Found Love', u'Stay', u'Good Girl Gone Bad: Reloaded', u'Music of the Sun', u'Redemption Song']	10	rihanna --> award nomination nominated for --> [u'All of the Lights', u'Run This Town', u'Umbrella (feat. Jay-Z)', u'Talk That Talk', u'Disturbia']	16
801	who is martin luther king jr facts?	1634	martin luther king jr. --> person profession --> [u'Minister of religion', u'Writer', u'Civil rights activist']	1	martin luther king jr. --> marriage spouse --> [u'Coretta Scott King']	30
802	where do the seattle seahawks play?	3561	seattle seahawks --> team venue relationship venue --> [u'CenturyLink Field', u'Kingdome', u'Husky Stadium']	38	seattle seahawks --> team venue relationship venue --> [u'CenturyLink Field', u'Kingdome', u'Husky Stadium']	38
803	what type of money to take to cuba?	6019	cuba --> country currency used --> [u'Cuban peso', u'Cuban convertible peso']	3	cuba --> country currency used --> [u'Cuban peso', u'Cuban convertible peso']	3
804	where did kim kardashian come from?	173	kim kardashian --> arrest location --> [u'Los Angeles']	0	kim kardashian --> person nationality --> [u'United States of America']	1
805	who owns chrysler corporation 2011?	281	chrysler group llc --> object name --> [u'Chrysler Group LLC']	0	chrysler group llc --> organization founders --> [u'Walter Chrysler']	11
806	what was shakespeare's wife called?	1016	anne hathaway --> object name --> [u'Anne Hathaway']	0	william shakespeare --> marriage spouse --> [u'Anne Hathaway']	5
807	what did canada get gold medals in?	66736	EMPTY	0	canada --> organization founder organizations founded --> [u'UNESCO', u'United Nations']	50
808	where did otto frank go to college?	40	otto frank --> education institution --> [u'Heidelberg College']	0	otto frank --> education institution --> [u'Heidelberg College']	0
809	what countries does england border?	19309	england --> adjoining relationship adjoins --> [u'Scotland', u'Wales', u'English Channel']	2128	england --> event locations --> [u'United Kingdom']	1589
810	who did marilyn monroe marry at 16?	326	marilyn monroe --> marriage spouse --> [u'Arthur Miller', u'James Dougherty', u'Joe DiMaggio']	59	marilyn monroe --> marriage spouse --> [u'Arthur Miller', u'James Dougherty', u'Joe DiMaggio']	59
811	where did kevin love go to college?	138	kevin love --> sports league draft pick school --> [u'University of California, Los Angeles']	0	kevin love --> education institution --> [u'University of California, Los Angeles', u'Lake Oswego High School']	3
812	who played damien in the omen 2006?	267	the omen --> performance actor --> [u'Tomas Wooler', u'Michael Gambon', u'Mia Farrow', u'Giovanni Lombardo Radice', u'Liev Schreiber']	4	the omen --> performance actor --> [u'Tomas Wooler', u'Michael Gambon', u'Mia Farrow', u'Giovanni Lombardo Radice', u'Liev Schreiber']	4
813	what countries are in the uk yahoo?	47077	united kingdom --> country first level divisions --> [u'England', u'Scotland', u'Wales', u'Northern Ireland']	2485	united kingdom --> sharing relationship locations --> [u'Ireland', u'Netherlands', u'United States of America', u'Canada', u'New Zealand']	6089
814	what happened in bosnia in the 90s?	3037	bosnia and herzegovina --> location events --> [u'Operation Sana', u'Bosnian War', u'NATO intervention in Bosnia and Herzegovina', u'Operation Deny Flight', u'Operation Tiger']	73	bosnia and herzegovina --> location contains --> [u'Zenica', u'Gubin', u'Bratunac', u'Domaljevac-\u0160amac', u'University of Banja Luka']	55
815	where is auburn university located?	2469	auburn university --> location containedby --> [u'United States of America', u'Alabama', u'Auburn', u'Auburn University Historic District']	70	auburn university --> location containedby --> [u'United States of America', u'Alabama', u'Auburn', u'Auburn University Historic District']	70
816	what songs did franz liszt compose?	554	franz liszt --> composer compositions --> [u'Tasso, Lamento e Trionfo', u'La campanella', u'Hungarian Rhapsodies', u'Hungarian Rhapsody No. 2', u'Dem Andenken Pet\u0151fis']	26	franz liszt --> author works written --> [u'Litanie de Marie', u'St. Stanislaus', u'Die Ideale', u'Letters of Franz Liszt', u'The Schubert Song Transcriptions for Solo Piano/Series II']	0
817	what city did marco polo came from?	83	marco polo --> deceased person place of death --> [u'Venice']	21	marco polo --> deceased person place of death --> [u'Venice']	21
818	what to do with my kids in toronto?	18729	toronto --> travel destination tourist attractions --> [u'Princess of Wales Theatre', u'Royal Ontario Museum', u'Ontario Place', u'Toronto Eaton Centre', u'Nathan Phillips Square']	43	toronto --> location contains --> [u'University of Toronto', u'York University', u'Ryerson University', u'Woodbine Avenue', u'Humber College']	369
819	what college did jrr tolkien go to?	1309	j. r. r. tolkien --> education institution --> [u'University of Oxford', u'Exeter College, Oxford', u"King Edward's School, Birmingham", u"St. Philip's School"]	5	j. r. r. tolkien --> education institution --> [u'University of Oxford', u'Exeter College, Oxford', u"King Edward's School, Birmingham", u"St. Philip's School"]	5
820	what currency does england use now?	19309	england --> country currency used --> [u'UK \xa3']	8	england --> country currency used --> [u'UK \xa3']	8
821	where did romney graduated college?	826	mitt romney --> education institution --> [u'Harvard University', u'Stanford University', u'Brigham Young University', u'Harvard Business School', u'Harvard Law School']	4	mitt romney --> education institution --> [u'Harvard University', u'Stanford University', u'Brigham Young University', u'Harvard Business School', u'Harvard Law School']	4
